ngram,frecuencia,probabilidad,n,target
not,530,0.019754743001975474,1,0
like,253,0.00943009430094301,1,0
just,234,0.00872190540087219,1,0
new,170,0.006336427000633643,1,0
no,146,0.005441872600544188,1,0
body,113,0.004211860300421186,1,0
video,96,0.003578217600357822,1,0
people,91,0.003391852100339185,1,0
love,90,0.0033545790003354577,1,0
got,85,0.0031682135003168214,1,0
know,85,0.0031682135003168214,1,0
time,84,0.003130940400313094,1,0
day,81,0.0030191211003019122,1,0
emergency,81,0.0030191211003019122,1,0
going,75,0.0027954825002795484,1,0
did,74,0.002758209400275821,1,0
want,67,0.0024972977002497296,1,0
good,67,0.0024972977002497296,1,0
think,66,0.0024600246002460025,1,0
world,62,0.0023109322002310933,1,0
man,62,0.0023109322002310933,1,0
lol,61,0.002273659100227366,1,0
life,60,0.0022363860002236387,1,0
news,60,0.0022363860002236387,1,0
burning,56,0.0020872936002087296,1,0
need,55,0.002050020500205002,1,0
make,55,0.002050020500205002,1,0
really,55,0.002050020500205002,1,0
way,55,0.002050020500205002,1,0
work,54,0.0020127474002012745,1,0
best,53,0.0019754743001975474,1,0
let,52,0.0019382012001938201,1,0
say,49,0.0018263819001826383,1,0
help,48,0.001789108800178911,1,0
read,48,0.001789108800178911,1,0
wreck,47,0.0017518357001751837,1,0
great,47,0.0017518357001751837,1,0
black,46,0.0017145626001714564,1,0
right,46,0.0017145626001714564,1,0
feel,46,0.0017145626001714564,1,0
content,46,0.0017145626001714564,1,0
hot,46,0.0017145626001714564,1,0
never,44,0.0016400164001640015,1,0
fear,44,0.0016400164001640015,1,0
look,44,0.0016400164001640015,1,0
bags,43,0.0016027433001602742,1,0
god,43,0.0016027433001602742,1,0
ass,42,0.001565470200156547,1,0
today,42,0.001565470200156547,1,0
cross,42,0.001565470200156547,1,0
